Object,PosX,PosY,PosZ,Gmeans_5__03_29_0,Ch_1_Mean,Ch_2_Mean,Ch_3_Mean,Ch_4_Mean,Ch_1_Min,Ch_2_Min,Ch_3_Min,Ch_4_Min,Ch_1_SD,Ch_2_SD,Ch_3_SD,Ch_4_SD,Ch_1_Max,Ch_2_Max,Ch_3_Max,Ch_4_Max,Ch_1_Sum,Ch_2_Sum,Ch_3_Sum,Ch_4_Sum,Ch_1_Count,Ch_2_Count,Ch_3_Count,Ch_4_Count,Ch_1_MeanThresh,Ch_2_MeanThresh,Ch_3_MeanThresh,Ch_4_MeanThresh
603.0,124.0,241.0,9.0,0,1112.78125,117.5,502.6875,70.25,538.0,71.0,212.0,52.0,500.14067275149955,33.317630710016466,215.0593972716345,10.72230114926287,2316.0,202.0,940.0,89.0,35609.0,3760.0,16086.0,2248.0,32,32,32,32,2279.0,189.5,858.0,86.28571428571429
604.0,145.0,23.5,14.0,4,748.6441048034934,197.23144104803492,725.8711790393013,220.19650655021834,530.0,126.0,215.0,77.0,211.4877330845886,33.79217819097181,354.38866337048853,87.910914655457,2170.0,374.0,2064.0,541.0,342879.0,90332.0,332449.0,100850.0,458,458,458,458,1898.0,340.0,1765.5714285714287,459.6363636363636
605.0,239.5,196.5,30.5,1,690.060773480663,172.5303867403315,303.1381215469613,92.26519337016575,532.0,103.0,147.0,65.0,118.98422704739095,25.239418340820254,52.502780188890206,14.278435706070901,1230.0,244.0,455.0,139.0,124901.0,31228.0,54868.0,16700.0,181,181,181,181,1168.5,220.41176470588235,404.0,129.0
606.0,164.5,237.0,14.0,4,920.7515923566879,197.64543524416135,316.36093418259026,226.93205944798302,531.0,125.0,170.0,122.0,266.4648391491419,27.927329240018135,140.52332767035858,59.271316766894635,1964.0,299.0,1323.0,407.0,433674.0,93091.0,149006.0,106885.0,471,471,471,471,1746.5,271.94117647058823,1148.0,360.56666666666666
607.0,244.0,146.5,27.5,0,737.027027027027,114.52702702702703,169.8918918918919,93.85135135135135,532.0,82.0,100.0,55.0,140.34302135516091,12.916192421019199,50.02617604337153,33.68861538217342,1006.0,140.0,294.0,191.0,54540.0,8475.0,12572.0,6945.0,74,74,74,74,941.6428571428571,132.3125,276.0,167.33333333333334
608.0,177.0,125.5,9.5,1,1037.3658536585365,248.7609756097561,425.93658536585366,263.57560975609755,532.0,178.0,131.0,108.0,368.8577065100325,36.86284115294221,371.50122169863334,102.85855693880424,2515.0,366.0,1752.0,598.0,212660.0,50996.0,87317.0,54033.0,205,205,205,205,2226.0,338.22222222222223,1543.7272727272727,514.625
609.0,250.5,197.5,26.5,0,716.5833333333334,154.01666666666668,402.71666666666664,88.81666666666666,531.0,99.0,258.0,60.0,136.924981522627,19.979219430186657,82.17614228948642,13.046840862721332,1055.0,192.0,722.0,125.0,42995.0,9241.0,24163.0,5329.0,60,60,60,60,979.1666666666666,179.46666666666667,722.0,114.6
610.0,175.0,118.5,11.0,1,1409.73,199.92,174.6,319.47,531.0,120.0,110.0,125.0,759.5209794882747,35.58506098992336,58.96206621655358,84.2065108209957,2886.0,301.0,436.0,497.0,140973.0,19992.0,17460.0,31947.0,100,100,100,100,2635.8823529411766,272.875,436.0,455.8666666666667
611.0,259.0,162.5,29.5,0,593.9622641509434,163.53773584905662,186.73584905660377,94.39622641509433,532.0,122.0,115.0,57.0,50.95879278832894,17.67008476994886,63.94228080100163,15.164921456021316,742.0,209.0,490.0,145.0,62960.0,17335.0,19794.0,10006.0,106,106,106,106,722.3333333333334,195.83333333333334,490.0,137.0
612.0,266.0,202.5,27.5,0,861.4235294117647,159.61176470588236,292.98823529411766,71.21176470588236,533.0,113.0,120.0,46.0,240.0511045029979,23.059495574154564,102.2637223435712,10.266791261203297,1469.0,245.0,619.0,101.0,73221.0,13567.0,24904.0,6053.0,85,85,85,85,1329.25,228.25,565.25,94.4
613.0,176.0,266.0,22.0,4,962.1225490196078,203.84477124183007,475.83986928104576,90.06045751633987,530.0,110.0,114.0,54.0,504.55239162058734,36.18501858499847,324.8079435226807,16.527849981014437,3758.0,334.0,3089.0,177.0,588819.0,124753.0,291214.0,55117.0,612,612,612,612,3315.777777777778,292.3333333333333,3089.0,167.5
614.0,6.0,230.0,27.5,0,622.8571428571429,139.5,562.3809523809524,108.71428571428571,534.0,109.0,308.0,71.0,67.28446036249215,15.206304854141033,210.502413216102,17.069850349102843,784.0,199.0,1128.0,147.0,26160.0,5859.0,23620.0,4566.0,42,42,42,42,745.0,199.0,1111.0,138.16666666666666
615.0,188.0,170.0,12.0,2,1567.391129032258,167.08064516129033,360.51209677419354,77.73387096774194,530.0,91.0,127.0,52.0,872.0338622582473,41.88215523964,159.69857695235095,13.290956939661918,4095.0,330.0,1057.0,140.0,388713.0,41436.0,89407.0,19278.0,248,248,248,248,3656.0,288.5,1034.5,129.0
616.0,36.0,279.0,28.5,0,649.8333333333334,122.8,257.8,98.06666666666666,536.0,92.0,153.0,76.0,84.31348864693057,16.268013888058643,55.78740433788456,19.504081506246298,833.0,156.0,389.0,162.0,19495.0,3684.0,7734.0,2942.0,30,30,30,30,793.2,147.25,357.3333333333333,162.0
617.0,41.0,109.0,28.0,0,659.48,112.84,202.52,66.4,552.0,66.0,96.0,41.0,82.13086620554705,24.975383799220534,65.28375739486688,10.413883982061483,876.0,172.0,369.0,91.0,32974.0,5642.0,10126.0,3320.0,50,50,50,50,843.0,157.25,324.1666666666667,84.75
